isoform_AS;ID_AS;Name_AS;AS_TpmRNA_median;AS_tpmRNA_Q1;AS_tpmRNA_Q3;Name_Sense;Isoform_Sense;ID_Sense;gene_TpmRNA_median;gene_tpmRNA_Q1;gene_tpmRNA_Q3
70401542-c6f4-4dce-850b-b438bcce9da4;ENSG00000239445;ST3GAL6-AS1;5,76;5,64;5,88;ST3GAL6;a2a51aa8-42c2-4c51-97a1-83d7280f24ed;ENSG00000064225;5,650472267;5,49;5,81
70401542-c6f4-4dce-850b-b438bcce9da4;ENSG00000239445;ST3GAL6-AS1;5,76;5,64;5,88;ST3GAL6;fe5d1a6e-209d-49d2-b068-0e007b2b8805;ENSG00000064225;5,884326213;5,78;7,14
ENST00000489096.5;ENSG00000240005;STIM2-AS1;6,82;5,93;9,38;STIM2;ENST00000467087.7;ENSG00000109689;10,07933974;6,13;15,27
ENST00000429962.2;ENSG00000230513;THAP7-AS1;6,18;6,13;6,63;THAP7;ENST00000399133.2;ENSG00000184436;28,87002714;18,39;34,44
2b60bb2d-6520-4fb8-b6cc-1a8b339e8366;ENSG00000206573;THUMPD3-AS1;10,1;7,87;13,69;THUMPD3;ENST00000345094.7;ENSG00000134077;15,08439812;11,73;19,39
ENST00000492937.1;ENSG00000243926;TIPARP-AS1;9,66;7,51;15,99;TIPARP;ENST00000295924.12;ENSG00000163659;28,98886827;17,22;35,82
2215ef6b-152f-4acb-a576-07099d592936;ENSG00000263400;TMEM220-AS1;5,96;5,78;7,17;TMEM220;17700328-6db5-45c5-a596-61f8f63958db;ENSG00000187824;6,379205735;5,93;8,73
2215ef6b-152f-4acb-a576-07099d592936;ENSG00000263400;TMEM220-AS1;5,96;5,78;7,17;TMEM220;ENST00000341871.8;ENSG00000187824;57,74005428;39,94;68,01
2215ef6b-152f-4acb-a576-07099d592936;ENSG00000263400;TMEM220-AS1;5,96;5,78;7,17;TMEM220;ENST00000455996.6;ENSG00000187824;10,04517049;7,87;12,95
2215ef6b-152f-4acb-a576-07099d592936;ENSG00000263400;TMEM220-AS1;5,96;5,78;7,17;TMEM220;ENST00000578345.1;ENSG00000187824;74,61787041;40,78;99,12
ENST00000664973.1;ENSG00000263400;TMEM220-AS1;6,13;5,8;8,61;TMEM220;17700328-6db5-45c5-a596-61f8f63958db;ENSG00000187824;6,379205735;5,93;8,73
ENST00000664973.1;ENSG00000263400;TMEM220-AS1;6,13;5,8;8,61;TMEM220;ENST00000341871.8;ENSG00000187824;57,74005428;39,94;68,01
ENST00000664973.1;ENSG00000263400;TMEM220-AS1;6,13;5,8;8,61;TMEM220;ENST00000455996.6;ENSG00000187824;10,04517049;7,87;12,95
ENST00000664973.1;ENSG00000263400;TMEM220-AS1;6,13;5,8;8,61;TMEM220;ENST00000578345.1;ENSG00000187824;74,61787041;40,78;99,12
f2e7b61c-5fda-40f5-9544-d19b8c9fb65b;ENSG00000263400;TMEM220-AS1;5,99;5,68;7,62;TMEM220;17700328-6db5-45c5-a596-61f8f63958db;ENSG00000187824;6,379205735;5,93;8,73
f2e7b61c-5fda-40f5-9544-d19b8c9fb65b;ENSG00000263400;TMEM220-AS1;5,99;5,68;7,62;TMEM220;ENST00000341871.8;ENSG00000187824;57,74005428;39,94;68,01
f2e7b61c-5fda-40f5-9544-d19b8c9fb65b;ENSG00000263400;TMEM220-AS1;5,99;5,68;7,62;TMEM220;ENST00000455996.6;ENSG00000187824;10,04517049;7,87;12,95
f2e7b61c-5fda-40f5-9544-d19b8c9fb65b;ENSG00000263400;TMEM220-AS1;5,99;5,68;7,62;TMEM220;ENST00000578345.1;ENSG00000187824;74,61787041;40,78;99,12
ENST00000416263.3;ENSG00000229980;TOB1-AS1;7,09;6,09;8,86;TOB1;ENST00000499247.3;ENSG00000141232;150,1241411;129,57;184,95
ENST00000509252.2;ENSG00000248275;TRIM52-AS1;11,98;10,13;15,02;TRIM52;6ff2c405-00e4-4b0c-9916-df744691da43;ENSG00000183718;13,25793985;5,8;15,98
ENST00000531661.2;ENSG00000254473;UBQLN1-AS1;14,99;11,55;15,03;UBQLN1;0b37e225-2822-4dff-86e6-0080f23ec073;ENSG00000135018;7,071736458;6,42;7,63
ENST00000531661.2;ENSG00000254473;UBQLN1-AS1;14,99;11,55;15,03;UBQLN1;ENST00000376395.9;ENSG00000135018;17,21950856;7,4;21,22
ENST00000685788.1;ENSG00000249348;UGDH-AS1;12,26;7,92;14,46;UGDH;ENST00000316423.11;ENSG00000109814;58,62189956;30,83;89,69
4f827d9b-98fe-4c7c-8b80-3fd57ae79cdb;ENSG00000256073;URB1-AS1;6,38;5,79;11,24;URB1;e70d38da-c76b-4565-8290-966542d37c22;ENSG00000142207;16,19348731;10,61;26,34
ENST00000478808.3;ENSG00000256262;USP30-AS1;15,03;9,77;18,15;USP30;ENST00000257548.10;ENSG00000135093;24,18775741;17,82;46,47
ENST00000527986.5;ENSG00000254635;WAC-AS1;11,54;6,17;17,89;WAC;431a97fa-7092-48f0-9a44-ee1941247f53;ENSG00000095787;43,93944114;37,81;59,27
ENST00000521326.2;ENSG00000254231;WWP1-AS1;7,99;6,13;11,55;WWP1;ENST00000517970.6;ENSG00000123124;9,136812355;5,93;12,76
ENST00000521326.2;ENSG00000254231;WWP1-AS1;7,99;6,13;11,55;WWP1;d2967cd2-58c8-4589-bc89-23a4a728a220;ENSG00000123124;29,84985523;15,58;33,3
ENST00000521326.2;ENSG00000254231;WWP1-AS1;7,99;6,13;11,55;WWP1;fc3c8f86-bf99-4b6a-bf86-d2844bd138b8;ENSG00000123124;10,63015943;8,87;12,84
3319ce03-933c-4f04-92b2-e6d201125d1a;ENSG00000256628;ZBTB11-AS1;10,57;8,9;15,58;ZBTB11;0ca6da0e-1d75-4dc2-ab80-24b118b8ae8f;ENSG00000066422;10,80144909;8,34;12,76
ENST00000580048.1;ENSG00000264247;ZNF407-AS1;13,26;6,18;17,22;ZNF407;6ef4a25f-1f2f-4ea0-8775-ad42a47003b6;ENSG00000215421;5,884326213;5,79;6,13
ENST00000466942.2;ENSG00000237149;ZNF503-AS2;6,63;6,18;11,93;ZNF503;ENST00000372524.5;ENSG00000165655;6,182724232;5,8;15,03
ENST00000447795.3;ENSG00000232671;ZNF687-AS1;6,18;5,97;6,63;ZNF687;ENST00000336715.11;ENSG00000143373;11,51384161;7,54;18,12
ENST00000600652.1;ENSG00000269293;ZSCAN16-AS1;8,3;7,17;13,8;ZSCAN16;c029e607-d4f1-4d28-a280-cf771f074515;ENSG00000196812;9,662956092;6,63;11,94
ENST00000602810.2;ENSG00000269293;ZSCAN16-AS1;34,44;19,89;45,09;ZSCAN16;c029e607-d4f1-4d28-a280-cf771f074515;ENSG00000196812;9,662956092;6,63;11,94
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
