Isoform,Gene ID,Gene name,TPM (median),TPM (Q1),TPM (Q3)
2e381450-2b09-4fb6-b2f0-83a208d87ebc,ENSG00000116584,ARHGEF2,11,5,8,8,12,4
824c9162-83d6-46ed-938e-5c3e9217f072,ENSG00000116584,ARHGEF2,12,4,6,9,13,6
46fd06df-a458-407c-b92a-e0c62d441472,ENSG00000114790,ARHGEF26,16,0,12,3,25,8
ENST00000296315.8,ENSG00000163947,ARHGEF3,6,4,5,9,8,1
f08f3d56-5a8b-4f25-aae5-1f00d53bef16,ENSG00000102606,ARHGEF7,12,3,6,2,15,0
ENST00000471229.7,ENSG00000102401,ARMCX3,18,4,6,3,28,9
ENST00000265138.4,ENSG00000113369,ARRDC3,77,6,62,2,110,1
ENST00000381154.6,ENSG00000006756,ARSD,66,6,49,1,95,2
ENST00000636435.1,ENSG00000104763,ASAH1,16,0,9,7,18,4
ENST00000637244.1,ENSG00000104763,ASAH1,86,1,53,7,92,4
ENST00000381317.9,ENSG00000169093,ASMTL,10,4,7,3,14,5
ENST00000282185.8,ENSG00000152348,ATG10,11,5,6,6,12,4
ENST00000355178.8,ENSG00000152348,ATG10,7,5,6,8,9,1
33571f18-9530-4fbe-9691-07b1af57032d,ENSG00000177556,ATOX1,6,2,5,7,11,6
ENST00000313115.11,ENSG00000177556,ATOX1,165,3,135,9,202,0
ENST00000520382.5,ENSG00000177556,ATOX1,8,4,7,3,9,5
da3da0de-46d1-4446-9c40-7de27b77fefa,ENSG00000177556,ATOX1,7,3,5,9,9,6
e4482813-e8da-47fd-be33-d96f5c4f51d1,ENSG00000068650,ATP11A,17,2,12,4,24,5
ENST00000286371.8,ENSG00000069849,ATP1B3,16,0,12,8,19,6
ENST00000261173.6,ENSG00000070961,ATP2B1,15,0,12,3,23,0
ENST00000425642.3,ENSG00000171130,ATP6V0E2,71,2,65,8,89,0
fda50dc3-d10d-4de3-a25d-c7a7a91cb829,ENSG00000204842,ATXN2,7,4,5,9,12,6
ff4c5d4e-1bf0-4184-a0ec-1fce63e3f93c,ENSG00000204842,ATXN2,8,0,6,2,12,3
520e6461-c74b-4075-ba1d-67db7b7db8f7,ENSG00000087152,ATXN7L3,16,0,11,9,19,3
ENST00000309982.10,ENSG00000164929,BAALC,6,2,6,1,8,0
ENST00000399921.5,ENSG00000156273,BACH1,15,5,12,8,19,4
ENST00000322611.4,ENSG00000176788,BASP1,21,3,18,9,38,9
ENST00000525090.1,ENSG00000129151,BBOX1,50,7,20,0,65,1
ENST00000333924.6,ENSG00000186666,BCDIN3D,6,1,6,1,6,4
ENST00000648566.1,ENSG00000142867,BCL10,8,9,5,9,16,3
ENST00000307677.5,ENSG00000171552,BCL2L1,6,0,5,8,11,5
ENST00000676582.1,ENSG00000171552,BCL2L1,6,2,6,1,7,5
ENST00000678563.1,ENSG00000171552,BCL2L1,12,1,8,9,15,2
ENST00000222547.8,ENSG00000105829,BET1,36,5,24,0,40,2
ENST00000256495.4,ENSG00000134107,BHLHE40,33,4,19,1,60,9
3f1e0d31-7e34-4b60-80c9-03296d3c3376,ENSG00000063169,BICRA,10,6,7,5,12,7
acce4569-dc53-4970-b65a-51bcb80519ec,ENSG00000115760,BIRC6,12,4,8,6,17,9
7b0cadc0-ef08-4b67-8914-f7705419f294,ENSG00000176720,BOK,6,2,6,0,6,4
ENST00000318407.5,ENSG00000176720,BOK,33,1,29,0,40,6
7ef64d08-b74a-4764-b057-d82c878a9459,ENSG00000185658,BRWD1,7,1,6,3,7,9
ENST00000341322.4,ENSG00000185658,BRWD1,12,8,7,8,17,8
ENST00000353555.9,ENSG00000172270,BSG,120,5,97,8,162,0
ENST00000254977.7,ENSG00000132640,BTBD3,11,6,6,6,16,0
ENST00000348354.7,ENSG00000154640,BTG3,12,8,10,9,16,7
ENST00000409600.6,ENSG00000082153,BZW1,32,0,29,9,48,3
dc65399c-cd11-412f-8147-046f4437e678,ENSG00000082153,BZW1,12,3,7,6,15,0
ENST00000579760.6,ENSG00000173918,C1QTNF1,54,2,35,1,74,4
9ba769b1-0b09-4acc-915d-809ad6a848d0,ENSG00000139178,C1RL,6,2,5,8,11,9
ENST00000266542.9,ENSG00000139178,C1RL,143,3,127,9,180,5
0fa462d6-121f-43be-878b-12577b07e2c3,ENSG00000166278,C2,7,3,6,5,8,9
193f2354-80be-4f0d-8815-5f26082e2529,ENSG00000166278,C2,17,2,13,6,22,8
2d01d068-7490-4fa0-b44c-47323af6b9a3,ENSG00000166278,C2,8,9,5,9,13,8
6cffba04-a655-4373-b223-55f2eebcf560,ENSG00000166278,C2,6,6,6,1,8,0
90e9cd3a-b872-48ab-b72d-1f7ae5a7d4aa,ENSG00000166278,C2,8,6,7,6,9,7
ENST00000299367.10,ENSG00000166278,C2,72,9,53,7,82,7
ENST00000418949.6,ENSG00000166278,C2,23,8,13,9,36,9
ENST00000442278.6,ENSG00000166278,C2,15,6,6,1,23,0
